mode,step,condition,sampling_rate,measurement_sigma,samples,mse
adanorm,4000,correct,2.0,0.01,40,0.08499434292316436
adanorm,4000,correct,2.0,0.03,40,0.08465960323810577
adanorm,4000,correct,2.0,0.05,40,0.0844426304101944
adanorm,4000,correct,2.0,0.07,40,0.08473037481307984
adanorm,4000,correct,2.0,0.09,40,0.0851575031876564
adanorm,4000,correct,3.0,0.0,40,0.06596063375473023
adanorm,4000,correct,3.0,0.01,40,0.06569627225399018
adanorm,4000,correct,3.0,0.03,40,0.06542198210954667
adanorm,4000,correct,3.0,0.05,40,0.06550123989582061
adanorm,4000,correct,3.0,0.07,40,0.06580997556447983
adanorm,4000,correct,3.0,0.09,40,0.06657458245754241
adanorm,4000,reported_zero,1.0,0.0,40,0.07908172607421875
adanorm,4000,reported_zero,1.0,0.01,40,0.07915130704641342
adanorm,4000,reported_zero,1.0,0.03,40,0.07922675907611847
adanorm,4000,reported_zero,1.0,0.05,40,0.07947550415992737
adanorm,4000,reported_zero,1.0,0.07,40,0.08026618957519531
adanorm,4000,reported_zero,1.0,0.09,40,0.08108250200748443
adanorm,4000,reported_zero,2.0,0.0,40,0.08527477979660034
adanorm,4000,reported_zero,2.0,0.01,40,0.08532107621431351
adanorm,4000,reported_zero,2.0,0.03,40,0.08546051234006882
adanorm,4000,reported_zero,2.0,0.05,40,0.08557273894548416
adanorm,4000,reported_zero,2.0,0.07,40,0.08608874529600144
adanorm,4000,reported_zero,2.0,0.09,40,0.08676742911338806
adanorm,4000,reported_zero,3.0,0.0,40,0.06596063375473023
adanorm,4000,reported_zero,3.0,0.01,40,0.06598950177431107
adanorm,4000,reported_zero,3.0,0.03,40,0.06614413559436798
adanorm,4000,reported_zero,3.0,0.05,40,0.0664375364780426
adanorm,4000,reported_zero,3.0,0.07,40,0.06681780666112899
adanorm,4000,reported_zero,3.0,0.09,40,0.06761253774166107
